Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3,Load_MW_z4,Load_MW_z5,Load_MW_z6,Load_MW_z7,Load_MW_z8,Load_MW_z9,Load_MW_z10,Load_MW_z11,Load_MW_z12,Load_MW_z13,Load_MW_z14,Load_MW_z15,Load_MW_z16,Load_MW_z17,Load_MW_z18,Load_MW_z19,Load_MW_z20,Load_MW_z21,Load_MW_z22,Load_MW_z23,Load_MW_z24,Load_MW_z25,Load_MW_z26
5000.0,1.0,1.0,1.0,5000.0,10.0,168.0,672.0,1,25854.0,25834.0,39946.0,33540.0,20844.0,26796.0,12268.0,28980.0,32914.0,42444.0,10755.0,9218.0,14136.0,13983.0,36761.0,37838.0,21325.0,11508.0,7826.0,20216.0,25943.0,28070.0,32786.0,26612.0,65649.0,2917.0
,,,,,,,2352.0,2,23530.0,23353.0,36103.0,29921.0,18962.0,24272.0,11139.0,26748.0,29687.0,37678.0,10135.0,8710.0,12969.0,12626.0,33860.0,34594.0,18629.0,10407.0,7046.0,18848.0,23740.0,25558.0,29454.0,23812.0,58842.0,2615.0
,,,,,,,504.0,3,20949.0,20602.0,31845.0,28701.0,18371.0,23265.0,10732.0,25181.0,27467.0,32280.0,9958.0,8506.0,12319.0,12250.0,33145.0,33836.0,16193.0,9626.0,6484.0,17683.0,23615.0,24455.0,28052.0,21559.0,53866.0,2394.0
,,,,,,,1176.0,4,18808.0,18269.0,28227.0,28503.0,18041.0,23120.0,10677.0,24997.0,27358.0,28041.0,9859.0,8397.0,12171.0,12018.0,32680.0,33411.0,14658.0,9527.0,6448.0,17457.0,23702.0,24219.0,27890.0,19642.0,52340.0,2326.0
,,,,,,,840.0,5,17503.0,16740.0,25852.0,28470.0,17561.0,22932.0,10674.0,24975.0,27500.0,25381.0,9740.0,8289.0,11966.0,11817.0,32246.0,33144.0,14996.0,9555.0,6448.0,17351.0,23691.0,24106.0,27544.0,18620.0,51435.0,2286.0
,,,,,,,1344.0,6,17395.0,16359.0,25255.0,29302.0,17480.0,23146.0,11001.0,24783.0,27687.0,25028.0,9837.0,8365.0,12040.0,12146.0,33027.0,33927.0,15060.0,9534.0,6464.0,17222.0,25052.0,24639.0,28049.0,18445.0,50560.0,2247.0
,,,,,,,672.0,7,17204.0,15936.0,24595.0,31992.0,17585.0,24073.0,11702.0,25153.0,29206.0,24742.0,10105.0,8573.0,12457.0,12640.0,34613.0,35339.0,14600.0,9829.0,6698.0,17509.0,26795.0,25665.0,29324.0,18169.0,50965.0,2265.0
,,,,,,,672.0,8,17173.0,15815.0,24401.0,36303.0,17249.0,24801.0,12049.0,25469.0,30885.0,24766.0,10207.0,8684.0,13001.0,13564.0,35348.0,36625.0,14930.0,10231.0,7008.0,17785.0,28847.0,26941.0,30886.0,18221.0,52127.0,2316.0
,,,,,,,336.0,9,17775.0,16064.0,24785.0,41370.0,17632.0,26134.0,12885.0,25933.0,32534.0,26212.0,10692.0,9046.0,13429.0,14592.0,37361.0,39011.0,15433.0,10579.0,7286.0,18022.0,30035.0,28812.0,33456.0,18334.0,54250.0,2411.0
,,,,,,,168.0,10,18441.0,16484.0,25437.0,46636.0,19579.0,27982.0,13938.0,27492.0,34503.0,28440.0,11443.0,9661.0,14293.0,15940.0,40463.0,42187.0,15591.0,11217.0,7708.0,18971.0,32231.0,31032.0,36862.0,19195.0,59381.0,2639.0
,,,,,,,,11,18979.0,17011.0,26258.0,51289.0,21397.0,29859.0,14985.0,29964.0,37010.0,30569.0,12073.0,10161.0,15300.0,16728.0,42632.0,44607.0,16214.0,12054.0,8256.0,20589.0,34132.0,33271.0,40357.0,20221.0,65665.0,2918.0
,,,,,,,,12,20292.0,17819.0,27521.0,55650.0,22757.0,31421.0,15883.0,31669.0,38957.0,34260.0,12475.0,10501.0,16122.0,17640.0,44404.0,47142.0,17833.0,12855.0,8779.0,22004.0,36832.0,35491.0,43771.0,21985.0,71266.0,3167.0
,,,,,,,,13,22041.0,19754.0,30520.0,59869.0,24405.0,33230.0,16933.0,33866.0,40825.0,37845.0,12939.0,10856.0,17056.0,18858.0,46518.0,49803.0,19251.0,13475.0,9263.0,23586.0,39744.0,37800.0,47767.0,24093.0,77446.0,3442.0
,,,,,,,,14,23620.0,21527.0,33271.0,61510.0,24657.0,34421.0,17410.0,36237.0,43194.0,40378.0,12953.0,10879.0,17377.0,19232.0,46623.0,50665.0,20623.0,14252.0,9779.0,25401.0,40453.0,39100.0,49968.0,26275.0,83224.0,3699.0
,,,,,,,,15,25173.0,23172.0,35821.0,61669.0,24570.0,34654.0,17536.0,36972.0,43512.0,42782.0,12947.0,10863.0,17496.0,19252.0,46605.0,50750.0,22675.0,14469.0,9934.0,25984.0,40969.0,39448.0,50344.0,28570.0,84912.0,3774.0
,,,,,,,,16,26842.0,24857.0,38433.0,61761.0,24370.0,35201.0,17695.0,37161.0,43723.0,45685.0,13006.0,10873.0,17648.0,19491.0,47110.0,51473.0,23198.0,14671.0,10072.0,26279.0,41793.0,39809.0,50697.0,30674.0,86367.0,3838.0
,,,,,,,,17,27382.0,25568.0,39532.0,61594.0,25079.0,36018.0,18641.0,37532.0,44854.0,46098.0,13374.0,11150.0,17986.0,20366.0,49180.0,53369.0,23836.0,15019.0,10380.0,26612.0,43962.0,41094.0,52131.0,31830.0,88174.0,3919.0
,,,,,,,,18,27921.0,26182.0,40484.0,60221.0,24455.0,36504.0,18504.0,38082.0,47230.0,46659.0,13270.0,11072.0,18006.0,20018.0,48905.0,52800.0,24964.0,15579.0,10835.0,27233.0,44199.0,41386.0,51541.0,33025.0,89914.0,3996.0
,,,,,,,,19,28584.0,26927.0,41643.0,61674.0,26450.0,37516.0,19704.0,36328.0,47408.0,47708.0,14234.0,11831.0,18636.0,21606.0,53513.0,55933.0,26149.0,15283.0,10745.0,26057.0,46564.0,43075.0,54412.0,33844.0,86057.0,3825.0
,,,,,,,,20,29413.0,27811.0,43017.0,60210.0,28644.0,39101.0,19976.0,38573.0,50359.0,49895.0,14744.0,12269.0,19375.0,22723.0,56012.0,58233.0,25001.0,16523.0,11433.0,27644.0,45180.0,44126.0,55799.0,34148.0,89868.0,3994.0
,,,,,,,,21,29611.0,27222.0,42111.0,54789.0,28007.0,37993.0,18683.0,38336.0,48739.0,49923.0,14082.0,11763.0,18945.0,21344.0,52788.0,55789.0,27182.0,16407.0,11192.0,27721.0,40217.0,41757.0,52061.0,34414.0,88913.0,3951.0
,,,,,,,,22,31376.0,29198.0,45175.0,48235.0,26886.0,35135.0,17092.0,35575.0,44069.0,53565.0,13273.0,11168.0,17971.0,19825.0,49131.0,51976.0,27866.0,15051.0,10245.0,25592.0,36382.0,38500.0,47044.0,34384.0,81887.0,3639.0
,,,,,,,,23,30837.0,29972.0,46364.0,42582.0,24462.0,32417.0,15525.0,33172.0,40323.0,52490.0,12162.0,10324.0,16845.0,17765.0,44393.0,47416.0,25716.0,13754.0,9332.0,23667.0,32586.0,34776.0,42140.0,32297.0,74118.0,3294.0
,,,,,,,,24,28303.0,28012.0,43327.0,37508.0,21418.0,29290.0,13851.0,30318.0,36632.0,47441.0,10893.0,9367.0,15272.0,15477.0,39136.0,42198.0,23950.0,12435.0,8475.0,21466.0,28871.0,31130.0,37320.0,29375.0,66283.0,2946.0
