GENERATION_PROJECT,gen_tech,gen_energy_source,gen_load_zone,gen_max_age,gen_is_variable,gen_is_baseload,gen_full_load_heat_rate,gen_variable_om,gen_connect_cost_per_mw,gen_dbid,gen_scheduled_outage_rate,gen_forced_outage_rate,gen_min_build_capacity,gen_is_cogen,gen_storage_efficiency,gen_store_to_release_ratio,gen_can_provide_cap_reserves,gen_self_discharge_rate,gen_discharge_efficiency,gen_land_use_rate,gen_ccs_capture_efficiency,gen_ccs_energy_load,gen_storage_energy_to_power_ratio,gen_type,gen_capacity_limit_mw
BASN_batteries_1,Batteries,Electricity,BASN,15,FALSE,FALSE,.,0.15,0,BASN_batteries_1,0,0,0,FALSE,0.8464,1,1,.,.,.,.,.,.,Storage,934.8
BASN_biomass_1,Biomass,Waste_biomass,BASN,50,FALSE,FALSE,13.128,5.64,0,BASN_biomass_1,0,0,0,FALSE,.,.,1,.,.,.,.,.,.,Biomass,44.6
BASN_conventional_hydroelectric_1,Conventional Hydroelectric,Water,BASN,100,FALSE,FALSE,.,0,0,BASN_conventional_hydroelectric_1,0,0,0,FALSE,.,.,1,.,.,.,.,.,.,Hydro,2566.3
BASN_conventional_steam_coal_1,Conventional Steam Coal,Coal,BASN,65,FALSE,FALSE,10.496,1.879,0,BASN_conventional_steam_coal_1,0,0,0,FALSE,.,.,1,.,.,.,.,.,.,Coal,3000.2
BASN_geothermal_1,Geothermal,Heat,BASN,30,FALSE,FALSE,.,0,0,BASN_geothermal_1,0,0,0,FALSE,.,.,1,.,.,.,.,.,.,Geothermal,804.9
BASN_natural_gas_fired_combined_cycle_1,Natural Gas Fired Combined Cycle,Naturalgas,BASN,60,FALSE,FALSE,7.638,3.694,0,BASN_natural_gas_fired_combined_cycle_1,0,0,0,FALSE,.,.,1,.,.,.,.,.,.,Naturalgas,8151.9
BASN_natural_gas_fired_combustion_turbine_1,Natural Gas Fired Combustion Turbine,Naturalgas,BASN,50,FALSE,FALSE,11.584,5.279,0,BASN_natural_gas_fired_combustion_turbine_1,0,0,0,FALSE,.,.,1,.,.,.,.,.,.,Naturalgas,2261.2
BASN_natural_gas_internal_combustion_engine_1,Natural Gas Internal Combustion Engine,Naturalgas,BASN,60,FALSE,FALSE,9.285,4.776,0,BASN_natural_gas_internal_combustion_engine_1,0,0,0,FALSE,.,.,1,.,.,.,.,.,.,Naturalgas,221.4
BASN_natural_gas_steam_turbine_1,Natural Gas Steam Turbine,Naturalgas,BASN,50,FALSE,FALSE,9.21,1.056,0,BASN_natural_gas_steam_turbine_1,0,0,0,FALSE,.,.,1,.,.,.,.,.,.,Naturalgas,5
BASN_onshore_wind_turbine_1,Onshore Wind Turbine,Wind,BASN,30,TRUE,FALSE,.,0,0,BASN_onshore_wind_turbine_1,0,0,0,FALSE,.,.,1,.,.,.,.,.,.,Wind,2030.1
BASN_petroleum_liquids_1,Petroleum Liquids,Distillate,BASN,40,FALSE,FALSE,21.039,10.823,0,BASN_petroleum_liquids_1,0,0,0,FALSE,.,.,1,.,.,.,.,.,.,Petroleum,25.8
BASN_small_hydroelectric_1,Small Hydroelectric,Water,BASN,100,FALSE,TRUE,.,0,0,BASN_small_hydroelectric_1,0,0,0,FALSE,.,.,1,.,.,.,.,.,.,Hydro,378
BASN_solar_photovoltaic_1,Solar Photovoltaic,Solar,BASN,30,TRUE,FALSE,.,0,0,BASN_solar_photovoltaic_1,0,0,0,FALSE,.,.,1,.,.,.,.,.,.,Solar,7556.7
