LOAD_ZONE,TIMEPOINT,zone_demand_mw
BASN,1,13583
BASN,2,12889
BASN,3,12320
BASN,4,11973
BASN,5,11789
BASN,6,11803
BASN,7,11864
BASN,8,12013
BASN,9,12395
BASN,10,12738
BASN,11,12863
BASN,12,13089
BASN,13,13209
BASN,14,13169
BASN,15,13151
BASN,16,13111
BASN,17,13003
BASN,18,12969
BASN,19,13122
BASN,20,13585
BASN,21,14214
BASN,22,14816
BASN,23,14734
BASN,24,14300
BASN,25,13646
BASN,26,12915
BASN,27,12156
BASN,28,11571
BASN,29,11442
BASN,30,11527
BASN,31,11716
BASN,32,12271
BASN,33,13554
BASN,34,14405
BASN,35,14601
BASN,36,14382
BASN,37,14018
BASN,38,13860
BASN,39,13619
BASN,40,13559
BASN,41,13262
BASN,42,13399
BASN,43,13776
BASN,44,14408
BASN,45,15264
BASN,46,15212
BASN,47,14530
BASN,48,13974
BASN,49,13244
BASN,50,12544
BASN,51,12078
BASN,52,11861
BASN,53,11809
BASN,54,11847
BASN,55,12017
BASN,56,12566
BASN,57,13776
BASN,58,14794
BASN,59,14737
BASN,60,14331
BASN,61,13997
BASN,62,13874
BASN,63,13682
BASN,64,13664
BASN,65,13415
BASN,66,13498
BASN,67,13908
BASN,68,14535
BASN,69,15404
BASN,70,15303
BASN,71,14576
BASN,72,13983
BASN,73,13204
BASN,74,12436
BASN,75,11905
BASN,76,11629
BASN,77,11576
BASN,78,11579
BASN,79,11759
BASN,80,12313
BASN,81,13437
BASN,82,14412
BASN,83,14333
BASN,84,14077
BASN,85,13843
BASN,86,13733
BASN,87,13561
BASN,88,13481
BASN,89,13410
BASN,90,13498
BASN,91,14011
BASN,92,14635
BASN,93,15418
BASN,94,15323
BASN,95,14573
BASN,96,13904
BASN,97,13176
BASN,98,12438
BASN,99,12046
BASN,100,11780
BASN,101,11662
BASN,102,11661
BASN,103,11864
BASN,104,12354
BASN,105,13542
BASN,106,14494
BASN,107,14483
BASN,108,14212
BASN,109,14000
BASN,110,13889
BASN,111,13725
BASN,112,13600
BASN,113,13553
BASN,114,13715
BASN,115,14237
BASN,116,14813
BASN,117,15660
BASN,118,15583
BASN,119,14765
BASN,120,14154
BASN,121,13389
BASN,122,12623
BASN,123,12120
BASN,124,11947
BASN,125,11924
BASN,126,11926
BASN,127,12138
BASN,128,12691
BASN,129,13895
BASN,130,14822
BASN,131,14833
BASN,132,14404
BASN,133,14044
BASN,134,13922
BASN,135,13716
BASN,136,13578
BASN,137,13417
BASN,138,13444
BASN,139,13823
BASN,140,14381
BASN,141,15100
BASN,142,15017
BASN,143,14250
BASN,144,13764
BASN,145,13124
BASN,146,12527
BASN,147,12140
BASN,148,12022
BASN,149,11848
BASN,150,11865
BASN,151,11903
BASN,152,12177
BASN,153,12693
BASN,154,12958
BASN,155,12964
BASN,156,13051
BASN,157,13165
BASN,158,13088
BASN,159,12980
BASN,160,12886
BASN,161,12699
BASN,162,12538
BASN,163,12742
BASN,164,13001
BASN,165,13365
BASN,166,14135
BASN,167,13997
BASN,168,13586
BASN,169,13045
BASN,170,12158
BASN,171,11246
BASN,172,10552
BASN,173,10054
BASN,174,9852
BASN,175,9715
BASN,176,9759
BASN,177,9897
BASN,178,10082
BASN,179,10402
BASN,180,11129
BASN,181,11872
BASN,182,12564
BASN,183,13295
BASN,184,13940
BASN,185,14428
BASN,186,14978
BASN,187,15321
BASN,188,15540
BASN,189,15399
BASN,190,15396
BASN,191,14976
BASN,192,14295
BASN,193,13221
BASN,194,12201
BASN,195,11266
BASN,196,10304
BASN,197,9980
BASN,198,9785
BASN,199,9846
BASN,200,10304
BASN,201,11107
BASN,202,11736
BASN,203,12154
BASN,204,12661
BASN,205,13101
BASN,206,13696
BASN,207,14304
BASN,208,14911
BASN,209,15424
BASN,210,15958
BASN,211,16662
BASN,212,17080
BASN,213,17009
BASN,214,16170
BASN,215,15058
BASN,216,14027
BASN,217,12953
BASN,218,11925
BASN,219,11178
BASN,220,10600
BASN,221,10245
BASN,222,10020
BASN,223,10054
BASN,224,10525
BASN,225,11212
BASN,226,11986
BASN,227,12217
BASN,228,12419
BASN,229,12888
BASN,230,13596
BASN,231,13901
BASN,232,14722
BASN,233,15332
BASN,234,16044
BASN,235,16753
BASN,236,17140
BASN,237,17110
BASN,238,16294
BASN,239,15259
BASN,240,14199
BASN,241,13137
BASN,242,12158
BASN,243,11302
BASN,244,10703
BASN,245,10323
BASN,246,10125
BASN,247,10179
BASN,248,10631
BASN,249,11490
BASN,250,12125
BASN,251,12450
BASN,252,12645
BASN,253,12875
BASN,254,13236
BASN,255,13455
BASN,256,14293
