RESERVOIRS,res_min_vol,res_max_vol,initial_res_vol,final_res_vol
BASN_conventional_hydroelectric_1_inlet,0,2617.6198799999997,1308.8099399999999,1308.8099399999999
CANO_conventional_hydroelectric_1_inlet,0,7112.92104,3556.46052,3556.46052
CASO_conventional_hydroelectric_1_inlet,0,990.4200000000002,495.2100000000001,495.2100000000001
FRCC_conventional_hydroelectric_1_inlet,0,44.37,22.185,22.185
ISNE_conventional_hydroelectric_1_inlet,0,604.6611,302.33055,302.33055
MISC_conventional_hydroelectric_1_inlet,0,457.56792,228.78396,228.78396
MISE_conventional_hydroelectric_1_inlet,0,33.04800000000001,16.524000000000004,16.524000000000004
MISS_conventional_hydroelectric_1_inlet,0,594.75384,297.37692,297.37692
MISW_conventional_hydroelectric_1_inlet,0,100.98,50.49,50.49
NWPP_conventional_hydroelectric_1_inlet,0,64770.90261791701,32385.451308958505,32385.451308958505
NYUP_conventional_hydroelectric_1_inlet,0,4220.432327481999,2110.2161637409995,2110.2161637409995
PJMC_conventional_hydroelectric_1_inlet,0,10.608,5.304,5.304
PJMD_conventional_hydroelectric_1_inlet,0,625.3620000000001,312.68100000000004,312.68100000000004
PJME_conventional_hydroelectric_1_inlet,0,827.7422399999999,413.87111999999996,413.87111999999996
PJMW_conventional_hydroelectric_1_inlet,0,849.46008,424.73004,424.73004
RMRG_conventional_hydroelectric_1_inlet,0,721.45008,360.72504,360.72504
SPPC_conventional_hydroelectric_1_inlet,0,53.04,26.52,26.52
SPPN_conventional_hydroelectric_1_inlet,0,2560.2,1280.1,1280.1
SPPS_conventional_hydroelectric_1_inlet,0,2056.6515,1028.32575,1028.32575
SRCA_conventional_hydroelectric_1_inlet,0,1246.83372,623.41686,623.41686
SRCE_conventional_hydroelectric_1_inlet,0,4528.1268,2264.0634,2264.0634
SRSE_conventional_hydroelectric_1_inlet,0,3498.91212,1749.45606,1749.45606
SRSG_conventional_hydroelectric_1_inlet,0,2820.80796,1410.40398,1410.40398
TRE_conventional_hydroelectric_1_inlet,0,488.988,244.494,244.494
