Resource,region,technology,cluster,R_ID,Zone,Num_VRE_Bins,THERM,VRE,MUST_RUN,STOR,FLEX,HYDRO,LDS,CapRes_1,CapRes_2,Min_Share,Max_Share,Existing_Cap_MWh,Existing_Cap_MW,Existing_Charge_Cap_MW,num_units,unmodified_existing_cap_mw,New_Build,Cap_Size,Min_Cap_MW,Max_Cap_MW,Max_Cap_MWh,Min_Cap_MWh,Max_Charge_Cap_MW,Min_Charge_Cap_MW,Min_Share_percent,Max_Share_percent,capex_mw,Inv_Cost_per_MWyr,Fixed_OM_Cost_per_MWyr,capex_mwh,Inv_Cost_per_MWhyr,Fixed_OM_Cost_per_MWhyr,Var_OM_Cost_per_MWh,Var_OM_Cost_per_MWh_In,Inv_Cost_Charge_per_MWyr,Fixed_OM_Cost_Charge_per_MWyr,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Heat_Rate_MMBTU_per_MWh,heat_rate_mmbtu_mwh_iqr,heat_rate_mmbtu_mwh_std,Fuel,Min_Power,Self_Disch,Eff_Up,Eff_Down,Hydro_Energy_to_Power_Ratio,Min_Duration,Max_Duration,Reg_Max,Rsv_Max,Reg_Cost,Rsv_Cost,Max_Flexible_Demand_Delay,Max_Flexible_Demand_Advance,Flexible_Demand_Energy_Eff,CO2_Capture_Rate,CO2_Capture_Cost_per_Metric_Ton,co2_pipeline_annuity_mw,co2_pipeline_capex_mw,storage_cost_tonne,tonne_co2_captured_mwh,co2_cost_mwh,Ramp_Up_Percentage,Ramp_Dn_Percentage,Up_Time,Down_Time,spur_miles,spur_capex,offshore_spur_miles,offshore_spur_capex,tx_miles,tx_capex,interconnect_annuity,interconnect_capex_mw,regional_cost_multiplier,cap_recovery_years,wacc_real,variable_CF,RETRO,Num_RETRO_Sources,Retro1_Source,Retro1_Efficiency,Retro1_Inv_Cost_per_MWyr,Retro2_Source,Retro2_Efficiency,Retro2_Inv_Cost_per_MWyr,CapRes_3,CapRes_4,CapRes_5,CapRes_6,CapRes_7,CapRes_8,CapRes_9,CapRes_10,ESR_1,ESR_2,ESR_3,ESR_4,ESR_5,ESR_6,ESR_7,ESR_8,ESR_9,ESR_10,ESR_11,ESR_12,ESR_13,ESR_14,ESR_15,ESR_16,MinCapTag_1,MinCapTag_2,MinCapTag_3,MinCapTag_4,MinCapTag_5,Retro3_Source,Retro3_Efficiency,gen_is_variable,Retro3_Inv_Cost_per_MWyr,original_Fixed_OM_Cost_per_MWyr,original_Fixed_OM_Cost_per_MWhyr
FRCC_utilitypv_class1_moderate_0,FRCC,UtilityPV_Class1_Moderate_,0,627,4,1,0,1,0,0,0,0,0,0.0,0.0,0,0,0.0,25690.9,0.0,0.0,0.0,-1,1.0,0,25691.1,-1.0,0,0,0,0.0,0.0,700618.05,47144,61567,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,None,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0.0,0.0,0,0,0,0,3828.559,74857.611,0.95,30.0,0.05,0.2410014271736145,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,14423,0
FRCC_utilitypv_class1_moderate_1,FRCC,UtilityPV_Class1_Moderate_,1,628,4,1,0,1,0,0,0,0,0,0.0,0.0,0,0,0.0,14349.7,0.0,0.0,0.0,-1,1.0,0,14349.8,-1.0,0,0,0,0.0,0.0,700618.05,47171,61594,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,None,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0.0,0.0,0,0,0,0,3855.167,75377.855,0.95,30.0,0.05,0.2444830238819122,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,14423,0
FRCC_utilitypv_class1_moderate_2,FRCC,UtilityPV_Class1_Moderate_,2,629,4,1,0,1,0,0,0,0,0,0.0,0.0,0,0,0.0,2481.6,0.0,0.0,0.0,-1,1.0,0,29750.7,-1.0,0,0,0,0.0,0.0,700618.05,53098,67521,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,None,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0.0,0.0,0,0,0,0,9782.847,191278.43,0.95,30.0,0.05,0.2433019429445266,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,14423,0
FRCC_utilitypv_class1_moderate_3,FRCC,UtilityPV_Class1_Moderate_,3,630,4,1,0,1,0,0,0,0,0,0.0,0.0,0,0,0.0,69.11,0.0,0.0,0.0,-1,1.0,0,10277.3,-1.0,0,0,0,0.0,0.0,700618.05,51596,66019,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,None,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0.0,0.0,0,0,0,0,8280.562,161905.077,0.95,30.0,0.05,0.2388506829738617,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,14423,0
FRCC_utilitypv_class1_moderate_4,FRCC,UtilityPV_Class1_Moderate_,4,631,4,1,0,1,0,0,0,0,0,0.0,0.0,0,0,0.0,7.66,0.0,0.0,0.0,-1,1.0,0,29650.5,-1.0,0,0,0,0.0,0.0,700618.05,57824,72247,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,None,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0.0,0.0,0,0,0,0,14508.434,283676.957,0.95,30.0,0.05,0.2431456297636032,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,14423,0
FRCC_utilitypv_class1_moderate_5,FRCC,UtilityPV_Class1_Moderate_,5,632,4,1,0,1,0,0,0,0,0,0.0,0.0,0,0,0.0,5.27,0.0,0.0,0.0,-1,1.0,0,10326.0,-1.0,0,0,0,0.0,0.0,700618.05,56660,71083,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,None,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0.0,0.0,0,0,0,0,13344.135,260911.02,0.95,30.0,0.05,0.2397818863391876,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,14423,0
FRCC_utilitypv_class1_moderate_6,FRCC,UtilityPV_Class1_Moderate_,6,633,4,1,0,1,0,0,0,0,0,0.0,0.0,0,0,0.0,7.95,0.0,0.0,0.0,-1,1.0,0,24132.4,-1.0,0,0,0,0.0,0.0,700618.05,61304,75727,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,None,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0.0,0.0,0,0,0,0,17988.691,351722.95,0.95,30.0,0.05,0.2442292869091034,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,14423,0
FRCC_utilitypv_class1_moderate_7,FRCC,UtilityPV_Class1_Moderate_,7,634,4,1,0,1,0,0,0,0,0,0.0,0.0,0,0,0.0,3.94,0.0,0.0,0.0,-1,1.0,0,15956.4,-1.0,0,0,0,0.0,0.0,700618.05,60427,74850,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,None,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0.0,0.0,0,0,0,0,17111.649,334575.898,0.95,30.0,0.05,0.2409570664167404,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,14423,0
FRCC_utilitypv_class1_moderate_8,FRCC,UtilityPV_Class1_Moderate_,8,635,4,1,0,1,0,0,0,0,0,0.0,0.0,0,0,0.0,5.25,0.0,0.0,0.0,-1,1.0,0,23120.0,-1.0,0,0,0,0.0,0.0,700618.05,63454,77877,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,None,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0.0,0.0,0,0,0,0,20138.231,393751.655,0.95,30.0,0.05,0.2429004311561584,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,14423,0
FRCC_utilitypv_class1_moderate_9,FRCC,UtilityPV_Class1_Moderate_,9,636,4,1,0,1,0,0,0,0,0,0.0,0.0,0,0,0.0,11.37,0.0,0.0,0.0,-1,1.0,0,16816.9,-1.0,0,0,0,0.0,0.0,700618.05,65684,80107,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,None,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0.0,0.0,0,0,0,0,22368.025,437349.126,0.95,30.0,0.05,0.2496270388364792,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,14423,0
