name,comm,model,zone,planning_year,case,unit,value
vEmsFuelTot,CO2,USENSYS,SPPN,2040,26z-debug-highCCScost,tons,298623.01143064
vEmsFuelTot,CO2,USENSYS,SPPN,2050,26z-debug-highCCScost,tons,378601.327450558
vEmsFuelTot,CO2,USENSYS,SPPS,2030,26z-debug-highCCScost,tons,5116836.97566612
vEmsFuelTot,CO2,USENSYS,SPPS,2040,26z-debug-highCCScost,tons,4085203.82183665
vEmsFuelTot,CO2,USENSYS,SPPS,2050,26z-debug-highCCScost,tons,3757522.18272443
vEmsFuelTot,CO2,USENSYS,SRCA,2030,26z-debug-highCCScost,tons,8502681.4361099
vEmsFuelTot,CO2,USENSYS,SRCA,2040,26z-debug-highCCScost,tons,5729782.40936823
vEmsFuelTot,CO2,USENSYS,SRCA,2050,26z-debug-highCCScost,tons,5460656.59469378
vEmsFuelTot,CO2,USENSYS,SRCE,2030,26z-debug-highCCScost,tons,6305561.79487212
vEmsFuelTot,CO2,USENSYS,SRCE,2040,26z-debug-highCCScost,tons,4957589.01008378
vEmsFuelTot,CO2,USENSYS,SRCE,2050,26z-debug-highCCScost,tons,5023253.56877502
vEmsFuelTot,CO2,USENSYS,SRSE,2030,26z-debug-highCCScost,tons,14534668.9847684
vEmsFuelTot,CO2,USENSYS,SRSE,2040,26z-debug-highCCScost,tons,9900446.91202806
vEmsFuelTot,CO2,USENSYS,SRSE,2050,26z-debug-highCCScost,tons,9098216.11448309
vEmsFuelTot,CO2,USENSYS,SRSG,2030,26z-debug-highCCScost,tons,2557827.81608508
vEmsFuelTot,CO2,USENSYS,SRSG,2040,26z-debug-highCCScost,tons,2844318.5163241
vEmsFuelTot,CO2,USENSYS,SRSG,2050,26z-debug-highCCScost,tons,2719519.51061322
vEmsFuelTot,CO2,USENSYS,TRE,2030,26z-debug-highCCScost,tons,15478421.0689795
vEmsFuelTot,CO2,USENSYS,TRE,2040,26z-debug-highCCScost,tons,12676672.7538657
vEmsFuelTot,CO2,USENSYS,TRE,2050,26z-debug-highCCScost,tons,12701831.6373748
vEmsFuelTot,CO2,USENSYS,TRE_WEST,2030,26z-debug-highCCScost,tons,2746526.21861103
vEmsFuelTot,CO2,USENSYS,TRE_WEST,2040,26z-debug-highCCScost,tons,1998836.02316676
vEmsFuelTot,CO2,USENSYS,TRE_WEST,2050,26z-debug-highCCScost,tons,1783439.92836825
