model,zone,resource_name,tech_type,unit,planning_year,case,start_value,end_value
USENSYS,BASN,BASN_landbasedwind_class3_moderate_0,Wind,MW,2030,26z-debug-highCCScost,0,5875
USENSYS,BASN,BASN_landbasedwind_class3_moderate_1,Wind,MW,2030,26z-debug-highCCScost,0,2855
USENSYS,BASN,BASN_landbasedwind_class3_moderate_2,Wind,MW,2030,26z-debug-highCCScost,0,2816
USENSYS,BASN,BASN_landbasedwind_class3_moderate_2,Wind,MW,2040,26z-debug-highCCScost,2816,28310
USENSYS,BASN,BASN_landbasedwind_class3_moderate_3,Wind,MW,2050,26z-debug-highCCScost,0,14037
USENSYS,BASN,BASN_utilitypv_class1_moderate_0,Solar,MW,2030,26z-debug-highCCScost,0,1869
USENSYS,BASN,BASN_utilitypv_class1_moderate_0,Solar,MW,2040,26z-debug-highCCScost,1870,12643
USENSYS,BASN,BASN_utilitypv_class1_moderate_0,Solar,MW,2050,26z-debug-highCCScost,12643,29079
USENSYS,CANO,CANO_landbasedwind_class3_moderate_0,Wind,MW,2050,26z-debug-highCCScost,0,1081
USENSYS,CANO,CANO_naturalgas_ccccsavgcf_conservative_0,CCS,MW,2050,26z-debug-highCCScost,0,1406
USENSYS,CANO,CANO_utilitypv_class1_moderate_1,Solar,MW,2030,26z-debug-highCCScost,0,1877
USENSYS,CANO,CANO_utilitypv_class1_moderate_1,Solar,MW,2040,26z-debug-highCCScost,1877,22447
USENSYS,CANO,CANO_utilitypv_class1_moderate_1,Solar,MW,2050,26z-debug-highCCScost,22446,24376
USENSYS,CANO,CANO_utilitypv_class1_moderate_5,Solar,MW,2050,26z-debug-highCCScost,0,16180
USENSYS,CASO,CASO_landbasedwind_class3_moderate_0,Wind,MW,2040,26z-debug-highCCScost,0,973
USENSYS,CASO,CASO_naturalgas_ccccsavgcf_conservative_0,CCS,MW,2040,26z-debug-highCCScost,0,1
USENSYS,CASO,CASO_naturalgas_ccccsavgcf_conservative_0,CCS,MW,2050,26z-debug-highCCScost,0,722
USENSYS,CASO,CASO_utilitypv_class1_moderate_0,Solar,MW,2050,26z-debug-highCCScost,1,14550
USENSYS,CASO,CASO_utilitypv_class1_moderate_1,Solar,MW,2030,26z-debug-highCCScost,0,14617
USENSYS,CASO,CASO_utilitypv_class1_moderate_1,Solar,MW,2040,26z-debug-highCCScost,14616,20949
USENSYS,CASO,CASO_utilitypv_class1_moderate_2,Solar,MW,2050,26z-debug-highCCScost,0,19611
USENSYS,CASO,CASO_utilitypv_class1_moderate_3,Solar,MW,2040,26z-debug-highCCScost,0,15455
USENSYS,CASO,CASO_utilitypv_class1_moderate_3,Solar,MW,2050,26z-debug-highCCScost,15455,15870
USENSYS,CASO,CASO_utilitypv_class1_moderate_4,Solar,MW,2050,26z-debug-highCCScost,0,2405
USENSYS,CASO,CASO_utilitypv_class1_moderate_5,Solar,MW,2030,26z-debug-highCCScost,0,3314
USENSYS,FRCC,FRCC_landbasedwind_class3_moderate_0,Wind,MW,2030,26z-debug-highCCScost,0,5241
USENSYS,FRCC,FRCC_landbasedwind_class3_moderate_1,Wind,MW,2030,26z-debug-highCCScost,0,1734
USENSYS,FRCC,FRCC_landbasedwind_class3_moderate_2,Wind,MW,2030,26z-debug-highCCScost,0,9415
USENSYS,FRCC,FRCC_landbasedwind_class3_moderate_3,Wind,MW,2030,26z-debug-highCCScost,0,2695
USENSYS,FRCC,FRCC_landbasedwind_class3_moderate_3,Wind,MW,2040,26z-debug-highCCScost,2694,3589
USENSYS,FRCC,FRCC_naturalgas_ccccsavgcf_conservative_0,CCS,MW,2030,26z-debug-highCCScost,0,8055
USENSYS,FRCC,FRCC_naturalgas_ccccsavgcf_conservative_0,CCS,MW,2040,26z-debug-highCCScost,8055,9680
USENSYS,FRCC,FRCC_utilitypv_class1_moderate_0,Solar,MW,2040,26z-debug-highCCScost,0,31278
USENSYS,FRCC,FRCC_utilitypv_class1_moderate_0,Solar,MW,2050,26z-debug-highCCScost,31278,76115
USENSYS,FRCC,FRCC_utilitypv_class1_moderate_2,Solar,MW,2030,26z-debug-highCCScost,0,32066
USENSYS,FRCC,FRCC_utilitypv_class1_moderate_2,Solar,MW,2040,26z-debug-highCCScost,32066,44316
USENSYS,FRCC,FRCC_utilitypv_class1_moderate_2,Solar,MW,2050,26z-debug-highCCScost,44316,47550
USENSYS,ISNE,ISNE_landbasedwind_class3_moderate_0,Wind,MW,2030,26z-debug-highCCScost,0,3242
USENSYS,ISNE,ISNE_landbasedwind_class3_moderate_1,Wind,MW,2030,26z-debug-highCCScost,0,1664
USENSYS,ISNE,ISNE_landbasedwind_class3_moderate_2,Wind,MW,2030,26z-debug-highCCScost,0,3972
USENSYS,ISNE,ISNE_landbasedwind_class3_moderate_3,Wind,MW,2030,26z-debug-highCCScost,0,3005
USENSYS,ISNE,ISNE_landbasedwind_class3_moderate_4,Wind,MW,2040,26z-debug-highCCScost,0,2127
USENSYS,ISNE,ISNE_landbasedwind_class3_moderate_5,Wind,MW,2030,26z-debug-highCCScost,0,1002
USENSYS,ISNE,ISNE_naturalgas_ccavgcf_moderate_0,Natural Gas,MW,2040,26z-debug-highCCScost,0,2249
