Line,New_Trans_Capacity,Cost_Trans_Capacity
1,7.439131212623618e-10,743.9131212623619
2,8.397582354909746e-11,83.97582354909747
3,5.433209447418458e-11,54.33209447418457
4,8.798544228872454e-11,87.98544228872454
5,8.486029799310314e-11,84.86029799310315
6,9.503578362300018e-11,95.03578362300019
7,1.1018170715231086e-10,110.18170715231086
8,2.6093619939425967e-11,26.09361993942597
9,7.342978391588607e-11,73.42978391588608
10,2.646187205395546e-11,26.461872053955457
11,9.313712459718379e-11,93.1371245971838
12,1.409324259832044e-11,14.093242598320439
13,3.982271405955168e-11,39.82271405955168
14,2.276586890686707e-11,22.765868906867066
15,7.897037884323016e-11,78.97037884323016
16,8.009156736542851e-11,80.09156736542852
17,1.707580308883512e-11,17.075803088835123
18,2.1257431158546612e-12,2.1257431158546614
19,6.6679786510813455e-9,6667.978651081346
20,6.309205423200322e-14,0.06309205423200322
21,8.631643518441172e-11,86.31643518441172
22,1.8644348261366838e-13,0.1864434826136684
23,1.0344451568396876e-12,1.0344451568396875
24,3.889168976455117e-12,3.889168976455118
25,2.8739135825709802e-11,28.739135825709802
26,1.7787467928074193e-11,17.787467928074197
27,1.7980117918091834e-13,0.17980117918091834
28,6.038126130395402e-9,6038.1261303954025
29,4.307102908083551e-11,43.07102908083551
30,7.401860310212505e-12,7.401860310212505
31,1.814156413894834e-10,181.41564138948343
32,6.725774067287672e-13,0.6725774067287673
33,4.5531438383375395e-11,45.5314383833754
34,9.04284095881876e-12,9.042840958818761
35,5.20206283279404e-13,0.5202062832794039
36,1.1171117592225539e-11,11.171117592225539
37,1.8071728937009302e-10,180.71728937009303
38,4.697049900150581e-11,46.97049900150581
39,1.1228516771831996e-10,112.28516771831997
40,9.886230008939014e-11,98.86230008939015
41,2.5489872802080597e-11,25.489872802080594
42,8.911765128843999e-11,89.11765128843999
43,9.018111040197889e-12,9.018111040197889
44,4.952195837650357e-11,49.52195837650358
45,4.4862551747378343e-11,44.86255174737835
46,4.699248460686289e-11,46.99248460686289
47,1.1741169174931452e-10,117.41169174931451
48,2.7538244489006906e-11,27.538244489006907
49,4.523593844178236e-11,45.23593844178235
50,6.569434543902744e-12,6.5694345439027435
51,3.0328334153126785e-11,30.32833415312679
52,9.15513313787129e-11,91.5513313787129
53,1.860152449173437e-11,18.60152449173437
54,7.630093751760904e-13,0.7630093751760904
55,3.553510244954499e-11,35.535102449544986
56,2.3218884921281833e-13,0.23218884921281832
57,1.8688306443122783e-10,186.88306443122784
