model,line_name,planning_year,case,unit,value
USENSYS,SPPN_to_SPPS,2040,26z-short-base-200_d365_h24_8760,MW,1954
USENSYS,SPPS_to_SRSG,2040,26z-short-base-200_d365_h24_8760,MW,4591
USENSYS,SPPS_to_TRE,2040,26z-short-base-200_d365_h24_8760,MW,5083
USENSYS,SPPS_to_TRE_WEST,2040,26z-short-base-200_d365_h24_8760,MW,2193
USENSYS,SRCA_to_SRCE,2040,26z-short-base-200_d365_h24_8760,MW,1675
USENSYS,NWPP_to_SPPN,2040,26z-short-base-200_d365_h24_8760,MW,405
USENSYS,SRSG_to_TRE,2040,26z-short-base-200_d365_h24_8760,MW,2771
USENSYS,MISW_to_SPPC,2040,26z-short-base-200_d365_h24_8760,MW,937
USENSYS,BASN_to_RMRG,2050,26z-short-base-200_d365_h24_8760,MW,1495
USENSYS,CANO_to_NWPP,2050,26z-short-base-200_d365_h24_8760,MW,2317
USENSYS,CASO_to_SRSG,2050,26z-short-base-200_d365_h24_8760,MW,8583
USENSYS,FRCC_to_SRSE,2050,26z-short-base-200_d365_h24_8760,MW,3711
USENSYS,ISNE_to_NYCW,2050,26z-short-base-200_d365_h24_8760,MW,423
USENSYS,ISNE_to_NYUP,2050,26z-short-base-200_d365_h24_8760,MW,3538
USENSYS,MISC_to_MISE,2050,26z-short-base-200_d365_h24_8760,MW,3731
USENSYS,MISC_to_PJMW,2050,26z-short-base-200_d365_h24_8760,MW,9596
USENSYS,MISC_to_SPPC,2050,26z-short-base-200_d365_h24_8760,MW,6864
USENSYS,MISC_to_SPPN,2050,26z-short-base-200_d365_h24_8760,MW,8037
USENSYS,MISC_to_SPPS,2050,26z-short-base-200_d365_h24_8760,MW,10199
USENSYS,MISE_to_MISW,2050,26z-short-base-200_d365_h24_8760,MW,787
USENSYS,MISS_to_SPPS,2050,26z-short-base-200_d365_h24_8760,MW,16970
USENSYS,MISS_to_SRSE,2050,26z-short-base-200_d365_h24_8760,MW,10000
USENSYS,MISW_to_PJMC,2050,26z-short-base-200_d365_h24_8760,MW,7834
USENSYS,MISW_to_SPPC,2050,26z-short-base-200_d365_h24_8760,MW,1124
USENSYS,MISW_to_SPPN,2050,26z-short-base-200_d365_h24_8760,MW,816
USENSYS,NWPP_to_RMRG,2050,26z-short-base-200_d365_h24_8760,MW,4690
USENSYS,NYCW_to_NYUP,2050,26z-short-base-200_d365_h24_8760,MW,1316
USENSYS,NYCW_to_PJME,2050,26z-short-base-200_d365_h24_8760,MW,5321
USENSYS,NYUP_to_PJME,2050,26z-short-base-200_d365_h24_8760,MW,2527
USENSYS,PJMC_to_PJMW,2050,26z-short-base-200_d365_h24_8760,MW,10000
USENSYS,PJMD_to_PJME,2050,26z-short-base-200_d365_h24_8760,MW,5667
USENSYS,PJMD_to_SRCA,2050,26z-short-base-200_d365_h24_8760,MW,703
USENSYS,PJME_to_PJMW,2050,26z-short-base-200_d365_h24_8760,MW,9911
USENSYS,PJMW_to_SRCE,2050,26z-short-base-200_d365_h24_8760,MW,96
USENSYS,RMRG_to_SPPC,2050,26z-short-base-200_d365_h24_8760,MW,10000
USENSYS,RMRG_to_SPPN,2050,26z-short-base-200_d365_h24_8760,MW,4377
USENSYS,RMRG_to_SRSG,2050,26z-short-base-200_d365_h24_8760,MW,3084
