Line,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,Total
AnnualSum,101498.8086972473,2.1320276907223526e7,-3.6111997670803037e6,-1.2606223921920005e7,8.64622276494562e6,5.909327222474793e6,-8.520523992828153e6,-9.22865004915922e6,-3.540298011976225e7,-7.833651236595975e6,5.65197507912952e6,9.824286000751853e6,2.522610103954217e7,1.2167689603342726e6,-676990.7796074271,1.3485756044826401e7,6.859513874715668e7,-1.0757391994017793e8,-418885.77312743233,-8.394646166521932e7,9.13080813356164e6,-90398.39562635464,-588543.9234029196,-2.434093556546887e7,-3.2978179394337195e8,2.3437648685996816e6,1.4093824367146993e8,-170607.9809645866,2.472852892585569e7,-4.281426639370537e6,-6.650670362125913e6,-3.645460468486873e6,-1.3719809795078594e7,-7.694204738023835e7,1.4748300494934792e7,1.0757848831268365e7,1.06875035458035e7,-5.576125781588125e6,5.302970262438755e6,-1.0318043935830088e8,2.8635471953587346e6,-44393.11491943554,1.9861248695683844e7,1.6148447629707323e7,4.755217843037367e7,2.028661125126308e6,-7.939557165664355e6,-1.2313520433443405e7,4.1141825066257596e7,-1.2677036543193001e7,-8.661290842754085e7,-9.214281069273818e6,-1.4818250388347267e6,2.6477583813584972e7,-6.3411618912206106e7,539292.7990953434,-3.97244086043298e7,-5.369791910847052e8
t1,99.99977451899301,5919.999813634775,-3349.9924693102466,-4642.89717953582,1177.4901459913692,-1077.5631089937162,-4068.29984945954,-2857.9998374281895,-15130.799824376156,-93.68065881602982,1473.8988250670843,4870.359257164126,-0.006661284262357484,0.008271315811454882,-0.2793743842014206,-5243.981656965619,-0.03812000175772144,-0.008448134273091658,-0.0009149720802100422,8971.964535015504,-1593.773206914422,-0.06456231823777124,-0.01787658134182298,-4118.3204489665195,0.0025777548214486745,-5025.388498744339,-5842.23726964219,199.97754604574448,-0.0012067725178642838,10.804403964667127,5511.968397019488,-3724.9462121900915,-2488.9988123146195,-255.77143315929496,8858.098686879242,3.8759414584605096e-5,1231.8898052065379,-0.003695152856327572,2140.320781054505,-623.5192823072343,1218.8474671528927,0.000236001012589356,-4035.7763497916544,-0.036173284211238416,12653.898001216843,566.467230554649,9641.283398879152,5552.872729452193,13209.99794228994,13477.972094025972,-4196.752892971251,-3090.9723498472385,-0.0037553717204425853,7102.474144401704,-16528.958099562056,-0.14967707953542522,-11055.897796344645,4843.458400388572
t2,99.99981800181328,5919.9998448687,-2552.1635830001132,-4642.881479978593,1663.3311437024086,-862.7495238416541,-4068.2998502113887,-2857.9998399711117,-15130.799842505368,-4629.785674633924,1473.8988267512543,7004.062737187168,4136.797843085295,1038.9781607018215,-0.004755979125752048,0.005347839620625364,0.013232611060602976,-7741.50985708123,0.010624869621660227,3082.4032562576376,0.035888402873883646,-52.58092735729783,0.0015376228575995482,-5403.989558296556,-19440.61628636978,-0.12770009572515215,11484.421377678746,0.0007581274367977229,132.6533006970752,-0.00135143622160432,531.8583676834579,-0.0003569374981543974,-2488.9988155094607,-171.8565381038647,8858.09869005293,0.4862280889014613,932.150231105462,-0.0037113733216030628,16.135481636889814,-101.52382629831853,1218.8362089473387,0.00026255162880227964,-0.022843782634454798,4730.805034510677,12653.892697157975,2217.577965906884,9641.285191852372,5552.7415502394015,13209.984470518673,2594.076104871569,-4823.20399952247,-3090.9714403374387,-0.004450828580796695,7102.473355120265,-16528.949300101132,0.0009897109430948826,-9623.56691693557,1084.4040978723751
t3,99.99981829864376,5919.999840619775,-3349.9936693643317,-4642.889542434796,4827.470639957594,-746.0528243113099,-4068.299850709585,-2857.999841051264,-15130.79983013947,-10700.477492760774,1473.8988300395451,7611.970687215667,3818.08393947306,1038.9741883094066,-0.0008563576010094866,306.3526831494829,1473.9834553651594,-15852.431639844654,-0.014134963196562534,0.06776671377349706,3744.9481694214446,-0.256687237682511,0.007425523708475655,-5403.988787310614,-34993.758232930595,-0.0026744125264882477,28306.877703285096,-199.55596121142796,4284.317941483162,-0.010407773719236563,-0.006207638244809236,832.3355436146117,-2488.9988205136237,-53.20203275596852,8858.098699335886,0.5373640444868971,653.4083113617419,-0.003698072472302126,754.6717754043871,-87.44826675682889,1218.839843653877,8.329939876284152e-5,6711.015594886269,5906.955839429147,12653.893914892922,559.5961866909447,9641.283920127253,5552.880578255065,13209.976060375251,0.018410160339180484,-4554.409041132355,-3090.972182715833,-0.02334520539361308,3417.4510861915705,-15530.783628235798,1809.8664011351364,-3978.513160977842,6956.889884895896
t4,99.99983784921167,5919.999855894711,-2869.0490066544216,-3852.506570426031,5384.998739971562,-623.268384890303,-4068.299861056455,-2857.999853171803,-15130.79982768313,-10700.47668640957,1473.898830762389,7381.02839977812,3785.2162891450066,0.026788822204048737,-0.0008636912561156721,1673.9351376609998,7185.283448792531,-24105.9826718718,-0.014152474759335936,0.0010182237620553099,3744.94802533838,-0.2564205256250423,0.007415863032698194,-5403.976041486562,-46072.964665735475,0.08033927862193353,29356.37953819079,-199.99841234726478,3854.4829277659105,-0.01046136683650039,-0.006208252691312811,2765.093709719242,-2488.998823213349,-1.4767166144917538,8858.098712132996,0.5070212181766779,147.47562832436034,-0.0038607491790371355,1865.474323179702,-90.16050518702934,1218.8435396207321,0.00021070156041931698,15152.29839475337,5906.998415039436,12653.898584237435,561.6610821381905,9641.249150699652,5321.353828678026,13209.982465160927,5255.914570605969,-3455.1461626958617,-3090.9715992055667,-0.023854206983966685,2181.915618582055,-16528.942860167805,1809.8984422609337,-1308.5264053572935,13561.08941494845
t5,99.99983781614006,5919.99985465382,-2543.223725131053,-3756.4533973035373,5384.998730859531,-555.6499863317594,-4068.299861332454,-2857.99985340182,-15130.799827552366,-10700.476434297798,1473.8987675076494,7144.257847714367,3893.546132251076,0.021489355550608453,-0.0008828043390164383,426.64967660671954,8576.315116684067,-24581.83446097699,-0.014212870614367617,0.0011506846683823537,3744.9480782245005,-0.2567999768163892,0.007351551459555283,-5403.976228607656,-44665.04230001074,0.07847689569323812,29356.3804890047,-199.99841473592593,4812.891411005316,-0.010565366986079617,-0.006101938051965184,366.911345138353,-2488.998760952169,114.47301263397229,8858.098719937116,0.524220523354091,91.06158174788166,-0.0038616467604895314,2185.0085653723972,-68.38693409545654,1218.8442567593643,0.00014633958065913836,15152.298419704111,5906.998429076046,12653.898595679902,354.34822127220974,9641.249846791803,4883.7656714951245,13209.982629931357,9933.737194979893,-3296.6482687759362,-3090.9718563537,-0.023824682811498802,1787.3210032704433,-16528.942687386367,1809.8984469796428,-144.56994688782447,18919.825525027893
t6,99.99983771367692,5919.999854167909,-2340.508713512477,-3641.1350944542182,5384.998723189069,-728.7256307005031,-4068.2998615556053,-2857.9998538268055,-15130.79982719148,-10700.476351253083,1473.8987700194602,7159.668213723691,4314.9325340899,0.015865424126703595,-0.0009087973547078112,1914.3136493272248,6578.807987605474,-25793.112218022274,-0.02032098509926712,0.00046229117053101486,3744.9476900945756,-0.25668653292532584,0.007310387995699733,-5403.973355526258,-47591.47350918979,2490.0023634738186,29356.381826646346,-199.99841623509872,4744.227523004146,-0.010215972071255049,-0.008147174547281052,-457.5285978578616,-2488.9987647394923,18.8125929384062,8858.098726462184,0.5215546117860278,142.6667854180159,-0.0036753923905733328,2407.4450083973084,-92.98611741816465,1218.9605134050514,4.128256784317927e-5,15152.29845554979,5906.9984359518985,12653.898598741745,0.07736590127677558,9641.236052306529,1942.7878077882524,13209.982420517916,10703.916663532496,-6886.930455860003,-3090.9813127165457,-475.3171757653783,2791.4147833485476,-16528.94114783335,1809.8984436529413,-65.48092194856154,11097.249580503934
t7,99.99982693106786,5919.999854374822,-2158.7921747990385,-3588.6587674895545,5384.998656659647,-1096.1763715134423,-4068.2998621875963,-2857.9998546652473,-15130.799829080668,-10700.476432911124,1473.8988391926443,7382.230789443347,5105.988346073619,0.0011651517001966141,-0.0009027472910660097,730.7533544823681,6653.767563767358,-28738.762769606044,-191.73097971626487,-0.021869242154306065,3744.9478016120256,-0.25631403589393603,0.007297598606941801,-5403.952341539722,-51620.552959947105,5025.379790756389,29356.389031227493,-199.99841153868007,7217.419983288327,-394.02009541224294,-932.9612766072754,-1143.4911992126038,-2488.998836495622,-43.16561070470609,8858.098735589012,0.5269635568457413,249.54341609258304,-0.0036265405431622866,2407.446647262627,-132.6691688596044,1218.9606817614497,-5.972912213790206e-5,15152.298396256903,5906.998391352759,12653.898530969096,0.04115428436539603,2088.519107161191,0.028004544633741607,13209.981129902426,10773.60950457166,-7837.187372292792,-3090.9814044754153,-756.9300861998701,4370.297775909769,-16528.93748300152,1809.8983872302956,-0.37521020057491905,-2310.272143746698
t8,99.99982702339157,5919.999856200372,-2853.381205634889,-4156.785806380314,5384.99865960139,-1356.7294811126437,-4068.299862702978,-2857.9998553348996,-15130.799827277548,-10700.47732322049,1473.8988422402126,7245.608412491868,5524.986257271603,0.008868707833796058,-0.002807437945508979,0.01941217618077365,0.022358535784099878,-15632.713601136693,-0.06913389620441553,-0.0021508403857109495,124.77192197944845,-52.341875738167055,0.0035633656253133148,-5403.963388755793,-44811.87638554176,0.08191116627356197,29356.38148905103,-199.9984123944263,5520.404101285442,-0.004495782905582967,-0.0064065724657023865,-717.2530118643316,-2488.9988404029864,-39.78996818693119,8858.098745356521,0.4946150722414213,156.8312631459223,-0.00363802510909492,2407.4465930782503,-96.71378739317052,1218.9605185813016,-0.0002537016270537509,15152.298362851074,5906.998449297733,12653.898524478263,0.0020433452052452455,9641.091757443963,3604.6628165185875,12970.285422978604,13619.18586981232,-3854.5322681591188,-3090.981576886926,-1354.7829376231375,4667.06717995256,-16528.942414636003,1809.8984531223298,-0.005428549492609156,17920.949950942002
t9,99.9998378648591,5919.999857400698,-3181.0407655333443,-4471.394952980857,5384.998433185373,-1700.8364159614093,-4068.299863684464,-2857.999856796654,-15130.799826384362,-10700.488014603534,757.8187110717649,4111.635464078441,2931.2679008247537,184.6945724095861,-263.3261917888332,-245.54881309510023,8666.645366903975,-15900.031509213895,0.31326975403266066,-1912.3246602526592,1315.961278472265,0.5454118973451019,-175.85325584466995,-3568.041157061814,-49780.68370484564,-1366.7939037860917,29356.39836999915,-5.869392154496153,8302.337044820597,443.27116374347355,2056.8469353974174,-187.9769709615473,-1543.5285864044372,-5322.746085113133,7555.058283726943,5589.671549518153,-2532.195117269174,-4467.51295560887,2407.4987051420644,-15729.490072144454,1218.9986824056502,3276.316757851987,12949.774408703017,4093.237046685921,12653.898258759933,87.14558038146069,2265.469753934188,293.86062297119685,13209.998275539849,15982.498062861556,-11694.7995464283,-3090.998657068075,-3270.886036080868,7102.498421999838,-16528.998041696475,595.3073862590508,-4450.949332012277,-25335.448270210916
