region,Resource,zone,Cluster,R_ID,Inv_cost_MW,Inv_cost_MWh,Fixed_OM_cost_MW,Fixed_OM_cost_MWh,Var_OM_cost_out,Fuel_cost,Var_OM_cost_in,StartCost,Charge_cost,EnergyRevenue,SubsidyRevenue,ReserveMarginRevenue,ESRRevenue,EmissionsCost,RegSubsidyRevenue,Revenue,Cost,Profit
CANO,CANO_small_hydroelectric_1,2,1,20,0.0,0.0,9.1884744e6,0.0,0.0,0.0,0.0,0.0,0.0,8.972807804952358e7,0.0,0.0,0.0,0.0,0.0,8.972807804952358e7,9.1884744e6,8.053960364952357e7
CANO,CANO_solar_photovoltaic_1,2,1,21,0.0,0.0,5.66004837e7,0.0,0.0,0.0,0.0,0.0,0.0,1.6804757987384534e8,0.0,0.0,0.0,0.0,0.0,1.6804757987384534e8,5.66004837e7,1.1144709617384534e8
CASO,CASO_biomass_1,3,1,22,0.0,0.0,9.98627e6,0.0,2.602454399999979e6,6.049260672000051e6,0.0,0.0,0.0,3.147162711903525e7,0.0,0.0,0.0,0.0,0.0,3.147162711903525e7,1.863798507200003e7,1.2833642047035221e7
CASO,CASO_conventional_hydroelectric_1,3,1,23,0.0,0.0,4.3237112e7,0.0,0.0,0.0,0.0,0.0,0.0,1.3269094754624707e8,0.0,0.0,0.0,0.0,0.0,1.3269094754624707e8,4.3237112e7,8.945383554624707e7
CASO,CASO_geothermal_1,3,1,24,0.0,0.0,4.934783600000001e6,0.0,0.0,0.0,0.0,0.0,0.0,1.1219488065797163e7,0.0,0.0,0.0,0.0,0.0,1.1219488065797163e7,4.934783600000001e6,6.284704465797163e6
CASO,CASO_hydroelectric_pumped_storage_1,3,1,25,0.0,0.0,7.833492e7,0.0,0.0,0.0,0.0,0.0,3.0405403372950487e7,1.740768368397391e8,0.0,0.0,0.0,0.0,0.0,1.740768368397391e8,1.087403233729505e8,6.533651346678862e7
CASO,CASO_natural_gas_fired_combined_cycle_1,3,1,26,0.0,0.0,9.791071619999999e7,0.0,1.5906904482309292e6,1.396982528207159e7,0.0,0.0,0.0,5.136343870445486e7,0.0,0.0,0.0,3.538133314876935e7,0.0,5.136343870445486e7,1.4885256507907185e8,-9.748912637461698e7
CASO,CASO_natural_gas_fired_combustion_turbine_1,3,1,27,0.0,0.0,6.005309100000001e7,0.0,1.979726326554016,16.26018972358047,0.0,0.0,0.0,26.500372338540277,0.0,0.0,0.0,41.18213206363622,0.0,26.500372338540277,6.005315042204813e7,-6.0053123921675794e7
CASO,CASO_natural_gas_internal_combustion_engine_1,3,1,28,0.0,0.0,1.0206e6,0.0,2.53009903871183,20.596451945993536,0.0,0.0,0.0,45.23743532729675,0.0,0.0,0.0,52.16456994054501,0.0,45.23743532729675,1.0206752911209252e6,-1.020630053685598e6
CASO,CASO_onshore_wind_turbine_1,3,1,29,0.0,0.0,1.78923e7,0.0,0.0,0.0,0.0,0.0,0.0,7.444632032555285e7,0.0,0.0,0.0,0.0,0.0,7.444632032555285e7,1.78923e7,5.655402032555285e7
CASO,CASO_petroleum_liquids_1,3,1,30,0.0,0.0,69300.0,0.0,0.4668783916380931,20.044645614328793,0.0,0.0,0.0,2.8539056818618693,0.0,0.0,0.0,13.281393357682514,0.0,2.8539056818618693,69333.79291736365,-69330.9390116818
CASO,CASO_small_hydroelectric_1,3,1,31,0.0,0.0,3.3639320000000005e6,0.0,0.0,0.0,0.0,0.0,0.0,3.399125889744739e7,0.0,0.0,0.0,0.0,0.0,3.399125889744739e7,3.3639320000000005e6,3.0627326897447392e7
CASO,CASO_solar_photovoltaic_1,3,1,32,0.0,0.0,1.470608115e8,0.0,0.0,0.0,0.0,0.0,0.0,4.6206704848540366e8,0.0,0.0,0.0,0.0,0.0,4.6206704848540366e8,1.470608115e8,3.1500623698540366e8
FRCC,FRCC_biomass_1,4,1,33,0.0,0.0,1.399888e7,0.0,4.402105343999963e6,1.0247258111999936e7,0.0,0.0,0.0,4.536386095990807e7,0.0,0.0,0.0,0.0,0.0,4.536386095990807e7,2.86482434559999e7,1.6715617503908169e7
FRCC,FRCC_conventional_hydroelectric_1,4,1,34,0.0,0.0,2.0465880000000002e6,0.0,0.0,0.0,0.0,0.0,0.0,6.716047341337356e6,0.0,0.0,0.0,0.0,0.0,6.716047341337356e6,2.0465880000000002e6,4.669459341337356e6
FRCC,FRCC_conventional_steam_coal_1,4,1,35,0.0,0.0,6.029800600000001e7,0.0,0.3021263987360984,4.195571445256964,0.0,0.0,0.0,9.309424353443392,0.0,0.0,0.0,36.10459319377881,0.0,9.309424353443392,6.029804660229105e7,-6.029803729286669e7
FRCC,FRCC_natural_gas_fired_combined_cycle_1,4,1,36,0.0,0.0,4.382399150999999e8,0.0,1.4174884863120211e7,1.1205713788193129e8,0.0,0.0,0.0,4.250134843868898e8,0.0,0.0,0.0,2.9878149427212304e8,0.0,4.250134843868898e8,8.632534321171744e8,-4.382399477302846e8
FRCC,FRCC_natural_gas_fired_combustion_turbine_1,4,1,37,0.0,0.0,6.903034180000001e7,0.0,1.679317554003428,14.30409615033146,0.0,0.0,0.0,21.189590501889928,0.0,0.0,0.0,38.13946440887372,0.0,21.189590501889928,6.903039592287812e7,-6.903037473328762e7
