model,zone,resource_name,tech_type,planning_year,case,unit,value
USENSYS,CANO,CANO_conventional_hydroelectric_1,Hydro,2030,scen_co2cap10k_w10_h168_1680w,MWh,18520846
USENSYS,CANO,CANO_conventional_hydroelectric_1,Hydro,2040,scen_co2cap10k_w10_h168_1680w,MWh,18545138
USENSYS,CANO,CANO_conventional_hydroelectric_1,Hydro,2050,scen_co2cap10k_w10_h168_1680w,MWh,15091551
USENSYS,CANO,CANO_distributed_generation_1,Distributed Solar,2030,scen_co2cap10k_w10_h168_1680w,MWh,12231923
USENSYS,CANO,CANO_distributed_generation_1,Distributed Solar,2040,scen_co2cap10k_w10_h168_1680w,MWh,14650855
USENSYS,CANO,CANO_distributed_generation_1,Distributed Solar,2050,scen_co2cap10k_w10_h168_1680w,MWh,14000859
USENSYS,CANO,CANO_hydrogen_ccavgcf_moderate_0,Hydrogen,2050,scen_co2cap10k_w10_h168_1680w,MWh,31502169
USENSYS,CANO,CANO_landbasedwind_class3_moderate_1,Wind,2030,scen_co2cap10k_w10_h168_1680w,MWh,19750347
USENSYS,CANO,CANO_landbasedwind_class3_moderate_1,Wind,2040,scen_co2cap10k_w10_h168_1680w,MWh,48679608
USENSYS,CANO,CANO_landbasedwind_class3_moderate_1,Wind,2050,scen_co2cap10k_w10_h168_1680w,MWh,62336413
USENSYS,CANO,CANO_landbasedwind_class3_moderate_2,Wind,2050,scen_co2cap10k_w10_h168_1680w,MWh,8260397
USENSYS,CANO,CANO_natural_gas_fired_combined_cycle_1,Natural Gas,2030,scen_co2cap10k_w10_h168_1680w,MWh,8335953
USENSYS,CANO,CANO_natural_gas_fired_combined_cycle_1,Natural Gas,2040,scen_co2cap10k_w10_h168_1680w,MWh,6388935
USENSYS,CANO,CANO_natural_gas_fired_combined_cycle_1,Natural Gas,2050,scen_co2cap10k_w10_h168_1680w,MWh,6328
USENSYS,CANO,CANO_naturalgas_ccccsavgcf_conservative_0,CCS,2030,scen_co2cap10k_w10_h168_1680w,MWh,19374602
USENSYS,CANO,CANO_naturalgas_ccccsavgcf_conservative_0,CCS,2040,scen_co2cap10k_w10_h168_1680w,MWh,24082558
USENSYS,CANO,CANO_naturalgas_ccccsavgcf_conservative_0,CCS,2050,scen_co2cap10k_w10_h168_1680w,MWh,516182
USENSYS,CANO,CANO_onshore_wind_turbine_1,Wind,2030,scen_co2cap10k_w10_h168_1680w,MWh,2938079
USENSYS,CANO,CANO_onshore_wind_turbine_1,Wind,2040,scen_co2cap10k_w10_h168_1680w,MWh,1471431
USENSYS,CANO,CANO_onshore_wind_turbine_1,Wind,2050,scen_co2cap10k_w10_h168_1680w,MWh,130040
USENSYS,CANO,CANO_small_hydroelectric_1,Hydro,2030,scen_co2cap10k_w10_h168_1680w,MWh,1886976
USENSYS,CANO,CANO_small_hydroelectric_1,Hydro,2040,scen_co2cap10k_w10_h168_1680w,MWh,1860768
USENSYS,CANO,CANO_small_hydroelectric_1,Hydro,2050,scen_co2cap10k_w10_h168_1680w,MWh,1703520
USENSYS,CANO,CANO_solar_photovoltaic_1,Solar,2030,scen_co2cap10k_w10_h168_1680w,MWh,13918714
USENSYS,CANO,CANO_solar_photovoltaic_1,Solar,2040,scen_co2cap10k_w10_h168_1680w,MWh,13675543
USENSYS,CANO,CANO_solar_photovoltaic_1,Solar,2050,scen_co2cap10k_w10_h168_1680w,MWh,5444009
